t,Edp,Eqp,Edpp,Eqpp,Efd1,Efd2,Efd3,Efd4
0.0,0.0,0.95,0.0,0.95,0.0021423143361651185,1.0711571680825593,1.0711571680825593,1.0711571680825593
0.01,0.0,0.9500003793620879,0.0,0.9500003793620879,0.002186652256225574,1.080259654982388,1.0722530039049292,1.0722530039049292
0.02,0.0,0.9500024207836193,0.0,0.9500024207836192,0.002213406036691208,1.0939186986652758,1.0739093958839436,1.0739093958839436
0.03,0.0,0.9500061330853404,0.0,0.9500061330853403,0.002228836703871604,1.1050767837806614,1.0752790495530742,1.0752790495530742
0.04,0.0,0.9500110847733294,0.0,0.9500110847733293,0.002236739797343324,1.1125377532658582,1.0762147259656916,1.0762147259656916
0.05,0.0,0.9500168248181761,0.0,0.950016824818176,0.002239588015813573,1.1167675777377155,1.076768595490258,1.076768595490258
0.060000000000000005,0.0,0.9500229894484029,0.0,0.9500229894484028,0.0022390590786566006,1.118550506845927,1.0770317831885512,1.0770317831885512
0.07,0.0,0.9500293117166041,0.0,0.9500293117166041,0.002236314022610173,1.1185988475948325,1.0770875946290646,1.0770875946290646
0.08,0.0,0.9500356053425035,0.0,0.9500356053425035,0.002232162302409096,1.1174703600049107,1.0770014602021125,1.0770014602021125
0.09,0.0,0.9500417452424593,0.0,0.9500417452424593,0.002227168322415175,1.1155768503337467,1.0768218017826163,1.0768218017826163
0.09999999999999999,0.0,0.9500476508871522,0.0,0.9500476508871522,0.002221723733269581,1.1132136562953714,1.0765834320014502,1.0765834320014502
0.10999999999999999,0.0,0.9500532734766708,0.0,0.9500532734766708,0.0022160978436353614,1.1105888037928673,1.0763109464876393,1.0763109464876393
0.11999999999999998,0.0,0.950058586467447,0.0,0.950058586467447,0.0022104732517028414,1.1078466600093153,1.0760214837225244,1.0760214837225244
0.12999999999999998,0.0,0.9500635787128335,0.0,0.9500635787128335,0.002204971190433346,1.1050858264132513,1.0757268154432233,1.0757268154432233
0.13999999999999999,0.0,0.9500682495487192,0.0,0.9500682495487192,0.0021996696036386642,1.1023722766793957,1.075434882591465,1.075434882591465
0.15,0.0,0.9500726052967506,0.0,0.9500726052967506,0.002194616046498326,1.0997488696511244,1.0751509080275854,1.0751509080275854
0.16,0.0,0.9500766567904163,0.0,0.9500766567904163,0.002189836888252356,1.0972421889570172,1.0748781969215881,1.0748781969215881
0.17,0.0,0.9500804176352491,0.0,0.9500804176352491,0.0021853438689429104,1.094867440500042,1.0746187101699602,1.0746187101699602
0.18000000000000002,0.0,0.9500839029941863,0.0,0.9500839029941863,0.002181138761992779,1.0926319491298306,1.0743734740614572,1.0743734740614572
0.19000000000000003,0.0,0.9500871287476402,0.0,0.9500871287476402,0.002177216680953968,1.090537648601376,1.074142872236312,1.074142872236312
0.20000000000000004,0.0,0.950090110920259,0.0,0.950090110920259,0.0021735684162310963,1.0885828495242336,1.0739268532076076,1.0739268532076076
0.21000000000000005,0.0,0.9500928652969447,0.0,0.9500928652969447,0.0021701820783512566,1.0867634902048975,1.0737250773912257,1.0737250773912257
0.22000000000000006,0.0,0.9500954071726869,0.0,0.9500954071726869,0.002167044246045141,1.0850740175732627,1.0735370208478494,1.0735370208478494
0.23000000000000007,0.0,0.9500977511965604,0.0,0.9500977511965604,0.002164140761242015,1.0835080038175111,1.0733620480835115,1.0733620480835115
0.24000000000000007,0.0,0.9500999112815652,0.0,0.9500999112815652,0.002161457272794049,1.0820585744727629,1.0731994627636676,1.0731994627636676
0.25000000000000006,0.0,0.9501019005601089,0.0,0.9501019005601089,0.002158979601845844,1.080718702252285,1.0730485426883543,1.0730485426883543
0.26000000000000006,0.0,0.950103731370751,0.0,0.9501037313707509,0.0021566939810358813,1.0794814055101165,1.0729085635762687,1.0729085635762687
0.2700000000000001,0.0,0.9501054152660012,0.0,0.9501054152660011,0.002154587204849267,1.0783398791745427,1.0727788149142408,1.0727788149142408
0.2800000000000001,0.0,0.950106963033946,0.0,0.9501069630339459,0.002152646717780863,1.0772875780659783,1.0726586102021918,1.0726586102021918
0.2900000000000001,0.0,0.9501083847286121,0.0,0.950108384728612,0.0021508606593261645,1.0763182668289724,1.072547293259301,1.072547293259301
0.3000000000000001,0.0,0.9501096897055015,0.0,0.9501096897055014,0.0021492178793404183,1.0754260466330188,1.0724442417807165,1.0724442417807165
0.3100000000000001,0.0,0.9501108866598196,0.0,0.9501108866598195,0.0021477079333847744,1.0746053658764616,1.072348868992705,1.072348868992705
0.3200000000000001,0.0,0.9501119836656947,0.0,0.9501119836656946,0.0021463210648699333,1.073851020035686,1.0722606240094892,1.0722606240094892
0.3300000000000001,0.0,0.9501129882152346,0.0,0.9501129882152346,0.00214504817879935,1.0731581443038585,1.072178991319811,1.072178991319811
0.34000000000000014,0.0,0.9501139072566592,0.0,0.9501139072566592,0.002143880810479076,1.0725222015918663,1.0721034897058865,1.0721034897058863
0.35000000000000014,0.0,0.9501147472310207,0.0,0.9501147472310207,0.002142811091537037,1.07193896769813,1.072033670807757,1.0720336708077567
0.36000000000000015,0.0,0.9501155141072181,0.0,0.9501155141072181,0.0021418317148649457,1.071404514907124,1.0719691174820094,1.0719691174820092
0.37000000000000016,0.0,0.9501162134151447,0.0,0.9501162134151447,0.002140935899577464,1.0709151948867126,1.071909442058168,1.0719094420581678
0.38000000000000017,0.0,0.9501168502769033,0.0,0.9501168502769032,0.002140117356715715,1.0704676214772018,1.0718542845635444,1.0718542845635441
0.3900000000000002,0.0,0.9501174294360817,0.0,0.9501174294360816,0.0021393702561628195,1.0700586537684078,1.0718033109642542,1.071803310964254
