t,UAB0,UAB1,UAB2
0.885,95.127,0.95127,0.94999
0.89,95.122,0.95122,0.94994
0.895,95.125,0.95125,0.94997
0.9,95.12,0.9512,0.94992
0.905,95.124,0.95124,0.94996
0.91,95.123,0.95123,0.94995
0.915,95.124,0.95124,0.94996
0.92,95.127,0.95127,0.94999
0.925,95.127,0.95127,0.94999
0.93,95.131,0.95131,0.95003
0.935,95.128,0.95128,0.95
0.94,95.131,0.95131,0.95003
0.945,95.126,0.95126,0.94998
0.95,95.127,0.95127,0.94999
0.955,95.126,0.95126,0.94998
0.96,95.125,0.95125,0.94997
0.965,95.125,0.95125,0.94997
0.97,95.122,0.95122,0.94994
0.975,95.126,0.95126,0.94998
0.98,95.124,0.95124,0.94996
0.985,95.128,0.95128,0.95
0.99,95.131,0.95131,0.95003
0.995,95.132,0.95132,0.95004
1,95.138,0.95138,0.9501
1.005,95.136,0.95136,0.95008
1.01,95.14,0.9514,0.95012
1.015,95.135,0.95135,0.95007
1.02,95.137,0.95137,0.95009
1.025,95.146,0.95146,0.95018
1.03,95.171,0.95171,0.95043
1.035,95.253,0.95253,0.95125
1.04,95.308,0.95308,0.9518
1.045,95.456,0.95456,0.95328
1.05,95.512,0.95512,0.95384
1.055,95.655,0.95655,0.95527
1.06,95.712,0.95712,0.95584
1.065,95.851,0.95851,0.95723
1.07,95.907,0.95907,0.95779
1.075,96.047,0.96047,0.95919
1.08,96.106,0.96106,0.95978
1.085,96.235,0.96235,0.96107
1.09,96.293,0.96293,0.96165
1.095,96.427,0.96427,0.96299
1.1,96.477,0.96477,0.96349
1.105,96.602,0.96602,0.96474
1.11,96.653,0.96653,0.96525
1.115,96.778,0.96778,0.9665
1.12,96.821,0.96821,0.96693
1.125,96.948,0.96948,0.9682
1.13,96.99,0.9699,0.96862
1.135,97.104,0.97104,0.96976
1.14,97.148,0.97148,0.9702
1.145,97.265,0.97265,0.97137
1.15,97.301,0.97301,0.97173
1.155,97.412,0.97412,0.97284
1.16,97.455,0.97455,0.97327
1.165,97.553,0.97553,0.97425
1.17,97.596,0.97596,0.97468
1.175,97.699,0.97699,0.97571
1.18,97.73,0.9773,0.97602
1.185,97.831,0.97831,0.97703
1.19,97.862,0.97862,0.97734
1.195,97.949,0.97949,0.97821
1.2,97.981,0.97981,0.97853
1.205,98.07,0.9807,0.97942
1.21,98.093,0.98093,0.97965
1.215,98.188,0.98188,0.9806
1.22,98.211,0.98211,0.98083
1.225,98.296,0.98296,0.98168
1.23,98.33,0.9833,0.98202
1.235,98.403,0.98403,0.98275
1.24,98.438,0.98438,0.9831
1.245,98.507,0.98507,0.98379
1.25,98.534,0.98534,0.98406
1.255,98.609,0.98609,0.98481
1.26,98.633,0.98633,0.98505
1.265,98.702,0.98702,0.98574
1.27,98.725,0.98725,0.98597
1.275,98.785,0.98785,0.98657
1.28,98.805,0.98805,0.98677
1.285,98.864,0.98864,0.98736
1.29,98.882,0.98882,0.98754
1.295,98.949,0.98949,0.98821
1.3,98.964,0.98964,0.98836
1.305,99.031,0.99031,0.98903
1.31,99.047,0.99047,0.98919
1.315,99.104,0.99104,0.98976
1.32,99.124,0.99124,0.98996
1.325,99.172,0.99172,0.99044
1.33,99.197,0.99197,0.99069
1.335,99.236,0.99236,0.99108
1.34,99.258,0.99258,0.9913
1.345,99.297,0.99297,0.99169
1.35,99.313,0.99313,0.99185
1.355,99.359,0.99359,0.99231
1.36,99.371,0.99371,0.99243
1.365,99.419,0.99419,0.99291
1.37,99.428,0.99428,0.993
1.375,99.476,0.99476,0.99348
1.38,99.486,0.99486,0.99358
1.385,99.529,0.99529,0.99401
1.39,99.542,0.99542,0.99414
1.395,99.575,0.99575,0.99447
1.4,99.59,0.9959,0.99462
1.405,99.62,0.9962,0.99492
1.41,99.638,0.99638,0.9951
1.415,99.663,0.99663,0.99535
1.42,99.68,0.9968,0.99552
1.425,99.703,0.99703,0.99575
1.43,99.717,0.99717,0.99589
1.435,99.744,0.99744,0.99616
1.44,99.757,0.99757,0.99629
1.445,99.784,0.99784,0.99656
1.45,99.794,0.99794,0.99666
1.455,99.824,0.99824,0.99696
1.46,99.833,0.99833,0.99705
1.465,99.859,0.99859,0.99731
1.47,99.867,0.99867,0.99739
1.475,99.894,0.99894,0.99766
1.48,99.902,0.99902,0.99774
1.485,99.925,0.99925,0.99797
1.49,99.932,0.99932,0.99804
1.495,99.953,0.99953,0.99825
1.5,99.959,0.99959,0.99831
1.505,99.979,0.99979,0.99851
1.51,99.984,0.99984,0.99856
1.515,100,1,0.99872
1.52,100,1,0.99872
1.525,100.02,1.0002,0.99892
1.53,100.02,1.0002,0.99892
1.535,100.04,1.0004,0.99912
1.54,100.05,1.0005,0.99922
1.545,100.06,1.0006,0.99932
1.55,100.07,1.0007,0.99942
1.555,100.08,1.0008,0.99952
1.56,100.09,1.0009,0.99962
1.565,100.1,1.001,0.99972
1.57,100.11,1.0011,0.99982
1.575,100.12,1.0012,0.99992
1.58,100.12,1.0012,0.99992
1.585,100.13,1.0013,1.00002
1.59,100.13,1.0013,1.00002
1.595,100.14,1.0014,1.00012
1.6,100.15,1.0015,1.00022
1.605,100.16,1.0016,1.00032
1.61,100.16,1.0016,1.00032
1.615,100.17,1.0017,1.00042
1.62,100.17,1.0017,1.00042
1.625,100.18,1.0018,1.00052
1.63,100.18,1.0018,1.00052
1.635,100.19,1.0019,1.00062
1.64,100.19,1.0019,1.00062
1.645,100.2,1.002,1.00072
1.65,100.2,1.002,1.00072
1.655,100.21,1.0021,1.00082
1.66,100.21,1.0021,1.00082
1.665,100.22,1.0022,1.00092
1.67,100.22,1.0022,1.00092
1.675,100.23,1.0023,1.00102
1.68,100.23,1.0023,1.00102
1.685,100.24,1.0024,1.00112
1.69,100.24,1.0024,1.00112
1.695,100.25,1.0025,1.00122
1.7,100.25,1.0025,1.00122
1.705,100.26,1.0026,1.00132
1.71,100.26,1.0026,1.00132
1.715,100.26,1.0026,1.00132
1.72,100.27,1.0027,1.00142
1.725,100.27,1.0027,1.00142
1.73,100.27,1.0027,1.00142
1.735,100.28,1.0028,1.00152
1.74,100.28,1.0028,1.00152
1.745,100.28,1.0028,1.00152
1.75,100.28,1.0028,1.00152
1.755,100.29,1.0029,1.00162
1.76,100.29,1.0029,1.00162
1.765,100.29,1.0029,1.00162
1.77,100.3,1.003,1.00172
1.775,100.3,1.003,1.00172
1.78,100.3,1.003,1.00172
1.785,100.3,1.003,1.00172
1.79,100.31,1.0031,1.00182
1.795,100.3,1.003,1.00172
1.8,100.31,1.0031,1.00182
1.805,100.31,1.0031,1.00182
1.81,100.31,1.0031,1.00182
1.815,100.31,1.0031,1.00182
1.82,100.31,1.0031,1.00182
1.825,100.31,1.0031,1.00182
1.83,100.31,1.0031,1.00182
1.835,100.31,1.0031,1.00182
1.84,100.31,1.0031,1.00182
1.845,100.31,1.0031,1.00182
1.85,100.31,1.0031,1.00182
1.855,100.31,1.0031,1.00182
1.86,100.32,1.0032,1.00192
1.865,100.32,1.0032,1.00192
1.87,100.32,1.0032,1.00192
1.875,100.32,1.0032,1.00192
1.88,100.32,1.0032,1.00192
1.885,100.32,1.0032,1.00192
1.89,100.31,1.0031,1.00182
1.895,100.32,1.0032,1.00192
1.9,100.32,1.0032,1.00192
1.905,100.32,1.0032,1.00192
1.91,100.32,1.0032,1.00192
1.915,100.32,1.0032,1.00192
1.92,100.32,1.0032,1.00192
1.925,100.32,1.0032,1.00192
1.93,100.33,1.0033,1.00202
1.935,100.32,1.0032,1.00192
1.94,100.33,1.0033,1.00202
1.945,100.32,1.0032,1.00192
1.95,100.32,1.0032,1.00192
1.955,100.32,1.0032,1.00192
1.96,100.32,1.0032,1.00192
1.965,100.32,1.0032,1.00192
1.97,100.32,1.0032,1.00192
1.975,100.32,1.0032,1.00192
1.98,100.32,1.0032,1.00192
1.985,100.32,1.0032,1.00192
1.99,100.31,1.0031,1.00182
1.995,100.31,1.0031,1.00182
2,100.31,1.0031,1.00182
2.005,100.31,1.0031,1.00182
2.01,100.31,1.0031,1.00182
2.015,100.31,1.0031,1.00182
2.02,100.31,1.0031,1.00182
2.025,100.31,1.0031,1.00182
2.03,100.31,1.0031,1.00182
2.035,100.31,1.0031,1.00182
2.04,100.31,1.0031,1.00182
2.045,100.3,1.003,1.00172
2.05,100.3,1.003,1.00172
2.055,100.3,1.003,1.00172
2.06,100.3,1.003,1.00172
2.065,100.3,1.003,1.00172
2.07,100.3,1.003,1.00172
2.075,100.3,1.003,1.00172
2.08,100.3,1.003,1.00172
2.085,100.3,1.003,1.00172
2.09,100.3,1.003,1.00172
2.095,100.3,1.003,1.00172
2.1,100.3,1.003,1.00172
2.105,100.3,1.003,1.00172
2.11,100.3,1.003,1.00172
2.115,100.3,1.003,1.00172
2.12,100.3,1.003,1.00172
2.125,100.3,1.003,1.00172
2.13,100.3,1.003,1.00172
2.135,100.3,1.003,1.00172
2.14,100.29,1.0029,1.00162
2.145,100.29,1.0029,1.00162
2.15,100.29,1.0029,1.00162
2.155,100.29,1.0029,1.00162
2.16,100.29,1.0029,1.00162
2.165,100.29,1.0029,1.00162
2.17,100.29,1.0029,1.00162
2.175,100.29,1.0029,1.00162
2.18,100.29,1.0029,1.00162
2.185,100.28,1.0028,1.00152
2.19,100.28,1.0028,1.00152
2.195,100.28,1.0028,1.00152
2.2,100.28,1.0028,1.00152
2.205,100.28,1.0028,1.00152
2.21,100.28,1.0028,1.00152
2.215,100.27,1.0027,1.00142
2.22,100.27,1.0027,1.00142
2.225,100.27,1.0027,1.00142
2.23,100.27,1.0027,1.00142
2.235,100.27,1.0027,1.00142
2.24,100.27,1.0027,1.00142
2.245,100.27,1.0027,1.00142
2.25,100.27,1.0027,1.00142
2.255,100.27,1.0027,1.00142
2.26,100.27,1.0027,1.00142
2.265,100.27,1.0027,1.00142
2.27,100.27,1.0027,1.00142
2.275,100.27,1.0027,1.00142
2.28,100.27,1.0027,1.00142
2.285,100.26,1.0026,1.00132
2.29,100.26,1.0026,1.00132
2.295,100.26,1.0026,1.00132
2.3,100.25,1.0025,1.00122
2.305,100.25,1.0025,1.00122
2.31,100.25,1.0025,1.00122
2.315,100.25,1.0025,1.00122
2.32,100.25,1.0025,1.00122
2.325,100.25,1.0025,1.00122
2.33,100.25,1.0025,1.00122
2.335,100.25,1.0025,1.00122
2.34,100.25,1.0025,1.00122
2.345,100.25,1.0025,1.00122
2.35,100.25,1.0025,1.00122
2.355,100.24,1.0024,1.00112
2.36,100.25,1.0025,1.00122
2.365,100.24,1.0024,1.00112
2.37,100.24,1.0024,1.00112
2.375,100.24,1.0024,1.00112
2.38,100.23,1.0023,1.00102
2.385,100.23,1.0023,1.00102
2.39,100.23,1.0023,1.00102
2.395,100.23,1.0023,1.00102
2.4,100.23,1.0023,1.00102
2.405,100.23,1.0023,1.00102
2.41,100.23,1.0023,1.00102
2.415,100.23,1.0023,1.00102
2.42,100.23,1.0023,1.00102
2.425,100.23,1.0023,1.00102
2.43,100.23,1.0023,1.00102
2.435,100.22,1.0022,1.00092
2.44,100.22,1.0022,1.00092
2.445,100.22,1.0022,1.00092
2.45,100.22,1.0022,1.00092
2.455,100.22,1.0022,1.00092
2.46,100.21,1.0021,1.00082
2.465,100.21,1.0021,1.00082
2.47,100.21,1.0021,1.00082
2.475,100.21,1.0021,1.00082
2.48,100.21,1.0021,1.00082
2.485,100.21,1.0021,1.00082
2.49,100.21,1.0021,1.00082
2.495,100.21,1.0021,1.00082
2.5,100.21,1.0021,1.00082
2.505,100.21,1.0021,1.00082
2.51,100.21,1.0021,1.00082
2.515,100.21,1.0021,1.00082
2.52,100.21,1.0021,1.00082
2.525,100.21,1.0021,1.00082
2.53,100.2,1.002,1.00072
2.535,100.2,1.002,1.00072
2.54,100.2,1.002,1.00072
2.545,100.2,1.002,1.00072
2.55,100.19,1.0019,1.00062
2.555,100.19,1.0019,1.00062
2.56,100.19,1.0019,1.00062
2.565,100.19,1.0019,1.00062
2.57,100.19,1.0019,1.00062
2.575,100.19,1.0019,1.00062
2.58,100.19,1.0019,1.00062
2.585,100.19,1.0019,1.00062
2.59,100.19,1.0019,1.00062
2.595,100.19,1.0019,1.00062
2.6,100.19,1.0019,1.00062
2.605,100.19,1.0019,1.00062
2.61,100.19,1.0019,1.00062
2.615,100.19,1.0019,1.00062
2.62,100.18,1.0018,1.00052
2.625,100.18,1.0018,1.00052
2.63,100.18,1.0018,1.00052
2.635,100.18,1.0018,1.00052
2.64,100.18,1.0018,1.00052
2.645,100.18,1.0018,1.00052
2.65,100.18,1.0018,1.00052
2.655,100.18,1.0018,1.00052
2.66,100.18,1.0018,1.00052
2.665,100.18,1.0018,1.00052
2.67,100.18,1.0018,1.00052
2.675,100.18,1.0018,1.00052
2.68,100.18,1.0018,1.00052
2.685,100.18,1.0018,1.00052
2.69,100.18,1.0018,1.00052
2.695,100.18,1.0018,1.00052
2.7,100.17,1.0017,1.00042
2.705,100.17,1.0017,1.00042
2.71,100.17,1.0017,1.00042
2.715,100.17,1.0017,1.00042
2.72,100.17,1.0017,1.00042
2.725,100.17,1.0017,1.00042
2.73,100.17,1.0017,1.00042
2.735,100.17,1.0017,1.00042
2.74,100.16,1.0016,1.00032
2.745,100.16,1.0016,1.00032
2.75,100.16,1.0016,1.00032
2.755,100.16,1.0016,1.00032
2.76,100.16,1.0016,1.00032
2.765,100.16,1.0016,1.00032
2.77,100.16,1.0016,1.00032
2.775,100.16,1.0016,1.00032
2.78,100.16,1.0016,1.00032
2.785,100.16,1.0016,1.00032
2.79,100.16,1.0016,1.00032
2.795,100.15,1.0015,1.00022
2.8,100.15,1.0015,1.00022
2.805,100.15,1.0015,1.00022
2.81,100.15,1.0015,1.00022
2.815,100.15,1.0015,1.00022
2.82,100.15,1.0015,1.00022
2.825,100.15,1.0015,1.00022
2.83,100.15,1.0015,1.00022
2.835,100.15,1.0015,1.00022
2.84,100.15,1.0015,1.00022
2.845,100.15,1.0015,1.00022
2.85,100.15,1.0015,1.00022
2.855,100.15,1.0015,1.00022
2.86,100.15,1.0015,1.00022
2.865,100.15,1.0015,1.00022
2.87,100.15,1.0015,1.00022
2.875,100.15,1.0015,1.00022
2.88,100.15,1.0015,1.00022
2.885,100.15,1.0015,1.00022
2.89,100.15,1.0015,1.00022
2.895,100.15,1.0015,1.00022
2.9,100.15,1.0015,1.00022
2.905,100.15,1.0015,1.00022
2.91,100.15,1.0015,1.00022
2.915,100.14,1.0014,1.00012
2.92,100.15,1.0015,1.00022
2.925,100.14,1.0014,1.00012
2.93,100.14,1.0014,1.00012
2.935,100.14,1.0014,1.00012
2.94,100.14,1.0014,1.00012
2.945,100.14,1.0014,1.00012
2.95,100.14,1.0014,1.00012
2.955,100.13,1.0013,1.00002
2.96,100.13,1.0013,1.00002
2.965,100.13,1.0013,1.00002
2.97,100.13,1.0013,1.00002
2.975,100.13,1.0013,1.00002
2.98,100.13,1.0013,1.00002
2.985,100.13,1.0013,1.00002
2.99,100.13,1.0013,1.00002
2.995,100.13,1.0013,1.00002
3,100.13,1.0013,1.00002
3.005,100.13,1.0013,1.00002
3.01,100.13,1.0013,1.00002
3.015,100.13,1.0013,1.00002
3.02,100.14,1.0014,1.00012
3.025,100.13,1.0013,1.00002
3.03,100.13,1.0013,1.00002
3.035,100.13,1.0013,1.00002
3.04,100.13,1.0013,1.00002
3.045,100.13,1.0013,1.00002
3.05,100.13,1.0013,1.00002
3.055,100.13,1.0013,1.00002
3.06,100.13,1.0013,1.00002
3.065,100.13,1.0013,1.00002
3.07,100.13,1.0013,1.00002
3.075,100.13,1.0013,1.00002
3.08,100.13,1.0013,1.00002
3.085,100.13,1.0013,1.00002
3.09,100.13,1.0013,1.00002
3.095,100.13,1.0013,1.00002
3.1,100.13,1.0013,1.00002
