t,UAB
1.78,1.0002
1.785,1.00019
1.79,1.00022
1.795,1.0002
1.8,1.00022
1.805,1.00021
1.81,1.00019
1.815,1.00018
1.82,1.00017
1.825,1.00015
1.83,1.00016
1.835,1.00013
1.84,1.00015
1.845,1.00011
1.85,1.00013
1.855,1.00008
1.86,1.0001
1.865,1.00005
1.87,1.00007
1.875,1.00004
1.88,1.00007
1.885,1.00005
1.89,1.00006
1.895,1.00005
1.9,1.00005
1.905,1.00006
1.91,1.00005
1.915,1.00005
1.92,1.00006
1.925,1.00006
1.93,1.00006
1.935,1.00008
1.94,1.00006
1.945,1.00005
1.95,1.00002
1.955,1.00003
1.96,1.00002
1.965,1
1.97,1.00003
1.975,0.99996
1.98,0.99999
1.985,0.99994
1.99,0.99997
1.995,0.99991
2,0.99995
2.005,0.99992
2.01,0.99995
2.015,0.99993
2.02,0.99994
2.025,0.99994
2.03,0.99994
2.035,0.99994
2.04,0.99994
2.045,0.99991
2.05,0.99991
2.055,0.99988
2.06,0.99989
2.065,0.99987
2.07,0.99991
2.075,0.99989
2.08,0.99992
2.085,0.9999
2.09,0.9999
2.095,0.99985
2.1,0.99986
2.105,0.99983
2.11,0.99986
2.115,0.99984
2.12,0.99985
2.125,0.99982
2.13,0.99983
2.135,0.9998
2.14,0.99983
2.145,0.9998
2.15,0.99981
2.155,0.99977
2.16,0.9998
2.165,0.99976
2.17,0.99979
2.175,0.99975
2.18,0.99977
2.185,0.99974
2.19,0.99975
2.195,0.99974
2.2,0.99976
2.205,0.99978
2.21,0.99977
2.215,0.99979
2.22,0.99976
2.225,0.99975
2.23,0.99974
2.235,0.9997
2.24,0.99971
2.245,0.99967
2.25,0.9997
2.255,0.99965
2.26,0.99969
2.265,0.99966
2.27,0.99968
2.275,0.99968
2.28,0.99969
2.285,0.99971
2.29,0.99971
2.295,0.99975
2.3,0.99973
2.305,0.99975
2.31,0.99972
2.315,0.99971
2.32,0.9997
2.325,0.99967
2.33,0.99969
2.335,0.99965
2.34,0.99967
2.345,0.99964
2.35,0.99966
2.355,0.99963
2.36,0.99966
2.365,0.99965
2.37,0.99965
2.375,0.99966
2.38,0.99966
2.385,0.99968
2.39,0.99966
2.395,0.99968
2.4,0.99967
2.405,0.99966
2.41,0.99965
2.415,0.99961
2.42,0.99962
2.425,0.99956
2.43,0.99959
2.435,0.99952
2.44,0.99958
2.445,0.99956
2.45,0.99961
2.455,0.9996
2.46,0.9996
2.465,0.99965
2.47,0.99963
2.475,0.99972
2.48,0.99968
2.485,0.99974
2.49,0.99969
2.495,0.99977
2.5,0.99971
2.505,0.99973
2.51,0.99968
2.515,0.99969
2.52,0.99969
2.525,0.99968
2.53,0.99969
2.535,0.99968
2.54,0.99968
2.545,0.99967
2.55,0.99968
2.555,0.99968
2.56,0.99969
2.565,0.99973
2.57,0.9997
2.575,0.99974
2.58,0.9997
2.585,0.9997
2.59,0.99967
2.595,0.99968
2.6,0.99968
2.605,0.99966
2.61,0.99967
2.615,0.99963
2.62,0.99965
2.625,0.99962
2.63,0.99965
2.635,0.99961
2.64,0.99963
2.645,0.99962
2.65,0.99962
2.655,0.9996
2.66,0.99959
2.665,0.99955
2.67,0.99956
2.675,0.99951
2.68,0.99955
2.685,0.99951
2.69,0.99954
2.695,0.99946
2.7,0.99951
2.705,0.99946
2.71,0.9995
2.715,0.99947
2.72,0.99948
2.725,0.9995
2.73,0.99948
2.735,0.99953
2.74,0.9995
2.745,0.99954
2.75,0.99948
2.755,0.9995
2.76,0.99947
2.765,0.99945
2.77,0.99944
2.775,0.99938
2.78,0.9994
2.785,0.9993
2.79,0.99937
2.795,0.99926
2.8,0.99935
2.805,0.9993
2.81,0.99936
2.815,0.9993
2.82,0.99933
2.825,0.99935
2.83,0.99934
2.835,0.9994
2.84,0.99936
2.845,0.99938
2.85,0.99935
2.855,0.99937
2.86,0.99933
2.865,0.99933
2.87,0.9993
2.875,0.99928
2.88,0.99929
2.885,0.99927
2.89,0.9993
2.895,0.99927
2.9,0.99927
2.905,0.99926
2.91,0.99927
2.915,0.99929
2.92,0.99928
2.925,0.99928
2.93,0.99925
2.935,0.99923
2.94,0.99924
2.945,0.99922
2.95,0.99923
2.955,0.99919
2.96,0.9992
2.965,0.99913
2.97,0.99918
2.975,0.99914
2.98,0.99917
2.985,0.99918
2.99,0.99919
2.995,0.99918
3,0.99919
3.005,0.99921
3.01,0.99919
3.015,0.99921
3.02,0.99917
3.025,0.99916
3.03,0.99916
3.035,0.99913
3.04,0.99916
3.045,0.99911
3.05,0.99915
3.055,0.99907
3.06,0.99914
3.065,0.99907
3.07,0.99912
3.075,0.99903
3.08,0.99908
3.085,0.99903
3.09,0.99909
3.095,0.99907
3.1,0.9991
3.105,0.99913
3.11,0.99912
3.115,0.99916
3.12,0.99914
3.125,0.99917
3.13,0.99915
3.135,0.99916
3.14,0.99915
3.145,0.99913
3.15,0.99913
3.155,0.99908
3.16,0.99912
3.165,0.99906
3.17,0.99912
3.175,0.99905
3.18,0.9991
3.185,0.99908
3.19,0.99911
3.195,0.9991
3.2,0.9991
3.205,0.99911
3.21,0.9991
3.215,0.99912
3.22,0.99911
3.225,0.99911
3.23,0.99909
3.235,0.99907
3.24,0.99907
3.245,0.99906
3.25,0.99907
3.255,0.99905
3.26,0.99905
3.265,0.99905
3.27,0.99905
3.275,0.99909
3.28,0.99908
3.285,0.99911
3.29,0.99909
3.295,0.99908
3.3,0.99907
3.305,0.99905
3.31,0.99906
3.315,0.99904
3.32,0.99906
3.325,0.99904
3.33,0.99907
3.335,0.99904
3.34,0.99905
3.345,0.99907
3.35,0.99907
3.355,0.99912
3.36,0.99913
3.365,0.99918
3.37,0.99913
3.375,0.99923
3.38,0.99917
3.385,0.99925
3.39,0.99919
3.395,0.99927
3.4,0.9992
3.405,0.99921
3.41,0.99918
3.415,0.99918
3.42,0.99917
3.425,0.99913
3.43,0.99916
3.435,0.99907
3.44,0.99913
3.445,0.99907
3.45,0.99913
3.455,0.9991
3.46,0.99913
3.465,0.99914
3.47,0.99915
3.475,0.99919
3.48,0.99917
3.485,0.99923
