t,UABreal,UFD,IFD,UAB
0.755,94.959,102.26,929.06,0.94959
0.76,94.964,102.24,929.28,0.94964
0.765,94.966,102.47,928.87,0.94966
0.77,94.964,102.59,928.71,0.94964
0.775,94.966,102.4,929.12,0.94966
0.78,94.973,102.33,931.54,0.94973
0.785,94.976,102.39,932.35,0.94976
0.79,94.984,102.19,930.48,0.94984
0.795,94.987,102.37,930.54,0.94987
0.8,94.99,102.22,930.5,0.9499
0.805,94.994,102.06,931.47,0.94994
0.81,95.002,101.88,932.22,0.95002
0.815,95.005,101.91,933.81,0.95005
0.82,95.004,101.97,933.59,0.95004
0.825,95.007,102.15,933.65,0.95007
0.83,95.008,102.18,934.69,0.95008
0.835,95.011,102.3,935.03,0.95011
0.84,95.011,102.25,933.58,0.95011
0.845,95.014,102.62,934.06,0.95014
0.85,95.005,102.77,932.53,0.95005
0.855,95.008,102.77,932.15,0.95008
0.86,95.007,102.7,930.64,0.95007
0.865,95.01,102.57,929.4,0.9501
0.87,95.013,102.32,931.97,0.95013
0.875,95.016,102.41,930.86,0.95016
0.88,95.012,102.17,930.54,0.95012
0.885,95.015,102.13,929.33,0.95015
0.89,95.012,102.06,927.96,0.95012
0.895,95.015,101.99,925.88,0.95015
0.9,95.012,102.04,926.65,0.95012
0.905,95.015,102.18,926.61,0.95015
0.91,95.01,102.05,927.07,0.9501
0.915,95.013,102.15,927.25,0.95013
0.92,95.01,101.87,928.38,0.9501
0.925,95.013,101.93,928.32,0.95013
0.93,95.01,101.93,927.64,0.9501
0.935,95.012,102.08,927.81,0.95012
0.94,95.017,102.13,929.72,0.95017
0.945,95.02,102.12,931.44,0.9502
0.95,95.023,102.07,931.46,0.95023
0.955,95.025,102.13,932.79,0.95025
0.96,95.021,102.28,932.54,0.95021
0.965,95.023,102.38,933.34,0.95023
0.97,95.021,102.43,932.69,0.95021
0.975,95.024,102.45,934.52,0.95024
0.98,95.025,102.33,934.03,0.95025
0.985,95.029,102.44,934.21,0.95029
0.99,95.031,102.29,934.25,0.95031
0.995,95.033,102.33,934.67,0.95033
1,95.035,102.01,932.48,0.95035
1.005,95.038,102.06,931.79,0.95038
1.01,95.042,101.87,933.06,0.95042
1.015,95.045,101.72,929.86,0.95045
1.02,95.047,101.63,927.95,0.95047
1.025,95.05,101.62,926.78,0.9505
1.03,95.051,101.68,926.19,0.95051
1.035,95.054,101.93,927.07,0.95054
1.04,95.049,102.21,927.69,0.95049
1.045,95.06,180.24,932.29,0.9506
1.05,95.056,277.25,986.39,0.95056
1.055,95.077,354.09,1016.9,0.95077
1.06,95.145,450.84,1089.5,0.95145
1.065,95.178,447.78,1128.9,0.95178
1.07,95.352,446.27,1161.3,0.95352
1.075,95.391,439.89,1188.9,0.95391
1.08,95.653,436.24,1213.7,0.95653
1.085,95.72,426.1,1230.2,0.9572
1.09,95.981,420.67,1241.6,0.95981
1.095,96.046,407.93,1251,0.96046
1.1,96.302,401.64,1258.3,0.96302
1.105,96.363,387.8,1261.8,0.96363
1.11,96.611,381.83,1269.6,0.96611
1.115,96.688,368.97,1278.6,0.96688
1.12,96.91,361.87,1272.7,0.9691
1.125,96.973,350.97,1286.1,0.96973
1.13,97.197,341.79,1275.1,0.97197
1.135,97.254,333.58,1282,0.97254
1.14,97.463,322.69,1271.4,0.97463
1.145,97.514,316.39,1276.7,0.97514
1.15,97.723,304.67,1268.2,0.97723
1.155,97.771,298.83,1265.2,0.97771
1.16,97.94,287.42,1262,0.9794
1.165,97.985,281.93,1257.1,0.97985
1.17,98.155,270.58,1252.4,0.98155
1.175,98.196,265.51,1249.5,0.98196
1.18,98.357,254.95,1244.7,0.98357
1.185,98.396,250.26,1240.6,0.98396
1.19,98.508,241.27,1235.5,0.98508
1.195,98.541,236.93,1231.3,0.98541
1.2,98.662,228.72,1225,0.98662
1.205,98.692,224.94,1222.3,0.98692
1.21,98.838,217.18,1217.3,0.98838
1.215,98.869,213.75,1211.3,0.98869
1.22,98.966,206.69,1206.6,0.98966
1.225,98.994,203.73,1202.3,0.98994
1.23,99.033,197.64,1195.4,0.99033
1.235,99.055,194.93,1192.1,0.99055
1.24,99.123,189.34,1189.1,0.99123
1.245,99.143,186.52,1184.6,0.99143
1.25,99.245,180.99,1180.2,0.99245
1.255,99.266,178.74,1175.2,0.99266
1.26,99.368,174,1167.8,0.99368
1.265,99.389,171.89,1162.8,0.99389
1.27,99.466,167.56,1157.5,0.99466
1.275,99.486,165.72,1152.8,0.99486
1.28,99.542,162.21,1150.7,0.99542
1.285,99.559,160.93,1148.5,0.99559
1.29,99.583,158.13,1147.1,0.99583
1.295,99.596,156.8,1146.6,0.99596
1.3,99.597,154.17,1141.3,0.99597
