t,UAB,UFD(V),IFD(A)
0.01461,0.955,163.574,532.26
0.01469,0.955,162.964,533.481
0.01477,0.955,162.354,533.481
0.01484,0.955,161.743,533.481
0.01492,0.955,161.743,532.26
0.015,0.955,161.133,532.26
0.01508,0.955,161.133,533.481
0.01516,0.955,161.133,532.26
0.01523,0.955,161.133,532.26
0.01531,0.955,161.133,532.26
0.01539,0.955,161.133,532.26
0.01547,0.955,161.133,532.26
0.01555,0.955,161.743,532.26
0.01563,0.955,161.743,532.26
0.0157,0.955,161.743,532.26
0.01578,0.955,162.354,532.26
0.01586,0.955,162.354,532.26
0.01594,0.956,162.964,532.26
0.01602,0.956,162.964,532.26
0.01609,0.956,163.574,532.26
0.01617,0.956,163.574,532.26
0.01625,0.956,164.185,532.26
0.01633,0.956,164.185,532.26
0.01641,0.956,164.795,532.26
0.01648,0.956,164.795,532.26
0.01656,0.956,164.795,532.26
0.01664,0.956,165.405,532.26
0.01672,0.956,165.405,532.26
0.0168,0.956,165.405,532.26
0.01688,0.956,166.016,532.26
0.01695,0.956,166.016,532.26
0.01703,0.956,166.016,533.481
0.01711,0.956,166.016,532.26
0.01719,0.956,166.016,532.26
0.01727,0.956,166.016,533.481
0.01734,0.956,166.016,532.26
0.01742,0.956,165.405,532.26
0.0175,0.956,165.405,532.26
0.01758,0.956,165.405,532.26
0.01766,0.956,164.795,532.26
0.01773,0.956,164.795,532.26
0.01781,0.956,164.185,532.26
0.01789,0.956,163.574,532.26
0.01797,0.956,163.574,532.26
0.01805,0.956,162.964,532.26
0.01813,0.956,162.354,532.26
0.0182,0.956,161.743,532.26
0.01828,0.956,161.743,532.26
0.01836,0.956,161.133,532.26
0.01844,0.956,161.133,532.26
0.01852,0.956,161.133,532.26
0.01859,0.956,161.133,532.26
0.01867,0.956,161.133,532.26
0.01875,0.956,161.133,532.26
0.01883,0.956,161.133,532.26
0.01891,0.956,161.133,532.26
0.01898,0.956,161.743,532.26
0.01906,0.956,161.743,532.26
0.01914,0.956,162.354,532.26
0.01922,0.956,162.354,532.26
0.0193,0.956,162.964,532.26
0.01938,0.956,162.964,532.26
0.01945,0.956,163.574,532.26
0.01953,0.956,163.574,532.26
0.01961,0.956,164.185,532.26
0.01969,0.956,164.185,532.26
0.01977,0.956,164.185,532.26
0.01984,0.956,164.795,532.26
0.01992,0.956,164.795,532.26
0.02,0.956,165.405,532.26
0.02008,0.956,165.405,532.26
0.02016,0.956,165.405,532.26
0.02023,0.956,165.405,532.26
0.02031,0.956,165.405,532.26
0.02039,0.956,166.016,532.26
0.02047,0.956,166.016,532.26
0.02055,0.956,166.016,532.26
0.02063,0.956,166.016,532.26
0.0207,0.956,165.405,532.26
0.02078,0.956,165.405,532.26
0.02086,0.956,165.405,532.26
0.02094,0.956,164.795,532.26
0.02102,0.956,164.795,532.26
0.02109,0.956,164.185,532.26
0.02117,0.956,164.185,532.26
0.02125,0.956,163.574,532.26
0.02133,0.955,162.964,532.26
0.02141,0.956,162.354,532.26
0.02148,0.956,161.743,532.26
0.02156,0.956,161.743,532.26
0.02164,0.955,161.133,532.26
0.02172,0.955,161.133,532.26
0.0218,0.955,161.133,532.26
0.02188,0.955,161.133,532.26
0.02195,0.955,161.133,532.26
