t,UAB(V),delta,UAB
0.091875,95.445,0.95445,0.94968
0.0925,95.444,0.95444,0.94967
0.093125,95.444,0.95444,0.94967
0.09375,95.443,0.95443,0.94966
0.094375,95.444,0.95444,0.94967
0.095,95.446,0.95446,0.94969
0.095625,95.447,0.95447,0.9497
0.09625,95.448,0.95448,0.94971
0.096875,95.449,0.95449,0.94972
0.0975,95.449,0.95449,0.94972
0.098125,95.449,0.95449,0.94972
0.09875,95.449,0.95449,0.94972
0.099375,95.448,0.95448,0.94971
0.1,95.446,0.95446,0.94969
0.100625,95.445,0.95445,0.94968
0.10125,95.445,0.95445,0.94968
0.101875,95.444,0.95444,0.94967
0.1025,95.444,0.95444,0.94967
0.103125,95.446,0.95446,0.94969
0.10375,95.446,0.95446,0.94969
0.104375,95.45,0.9545,0.94973
0.105,95.451,0.95451,0.94974
0.105625,95.452,0.95452,0.94975
0.10625,95.453,0.95453,0.94976
0.106875,95.454,0.95454,0.94977
0.1075,95.454,0.95454,0.94977
0.108125,95.454,0.95454,0.94977
0.10875,95.453,0.95453,0.94976
0.109375,95.452,0.95452,0.94975
0.11,95.451,0.95451,0.94974
0.110625,95.447,0.95447,0.9497
0.11125,95.447,0.95447,0.9497
0.111875,95.445,0.95445,0.94968
0.1125,95.444,0.95444,0.94967
0.113125,95.444,0.95444,0.94967
0.11375,95.446,0.95446,0.94969
0.114375,95.447,0.95447,0.9497
0.115,95.447,0.95447,0.9497
0.115625,95.448,0.95448,0.94971
0.11625,95.45,0.9545,0.94973
0.116875,95.45,0.9545,0.94973
0.1175,95.451,0.95451,0.94974
0.118125,95.451,0.95451,0.94974
0.11875,95.45,0.9545,0.94973
0.119375,95.449,0.95449,0.94972
0.12,95.448,0.95448,0.94971
0.120625,95.445,0.95445,0.94968
0.12125,95.444,0.95444,0.94967
0.121875,95.445,0.95445,0.94968
0.1225,95.445,0.95445,0.94968
0.123125,95.442,0.95442,0.94965
0.12375,95.442,0.95442,0.94965
0.124375,95.443,0.95443,0.94966
0.125,95.442,0.95442,0.94965
0.125625,95.443,0.95443,0.94966
0.12625,95.443,0.95443,0.94966
0.126875,95.444,0.95444,0.94967
0.1275,95.444,0.95444,0.94967
0.128125,95.444,0.95444,0.94967
0.12875,95.444,0.95444,0.94967
0.129375,95.442,0.95442,0.94965
0.13,95.442,0.95442,0.94965
0.130625,95.442,0.95442,0.94965
0.13125,95.441,0.95441,0.94964
0.131875,95.441,0.95441,0.94964
0.1325,95.442,0.95442,0.94965
0.133125,95.442,0.95442,0.94965
0.13375,95.442,0.95442,0.94965
0.134375,95.443,0.95443,0.94966
0.135,95.445,0.95445,0.94968
0.135625,95.447,0.95447,0.9497
0.13625,95.447,0.95447,0.9497
0.136875,95.447,0.95447,0.9497
0.1375,95.447,0.95447,0.9497
0.138125,95.447,0.95447,0.9497
0.13875,95.446,0.95446,0.94969
0.139375,95.444,0.95444,0.94967
0.14,95.444,0.95444,0.94967
0.140625,95.444,0.95444,0.94967
0.14125,95.443,0.95443,0.94966
0.141875,95.44,0.9544,0.94963
0.1425,95.44,0.9544,0.94963
0.143125,95.443,0.95443,0.94966
0.14375,95.446,0.95446,0.94969
0.144375,95.447,0.95447,0.9497
0.145,95.449,0.95449,0.94972
0.145625,95.45,0.9545,0.94973
0.14625,95.452,0.95452,0.94975
0.146875,95.452,0.95452,0.94975
0.1475,95.453,0.95453,0.94976
0.148125,95.452,0.95452,0.94975
0.14875,95.452,0.95452,0.94975
0.149375,95.451,0.95451,0.94974
0.15,95.45,0.9545,0.94973
0.150625,95.449,0.95449,0.94972
0.15125,95.448,0.95448,0.94971
0.151875,95.448,0.95448,0.94971
0.1525,95.447,0.95447,0.9497
0.153125,95.449,0.95449,0.94972
0.15375,95.449,0.95449,0.94972
0.154375,95.45,0.9545,0.94973
0.155,95.451,0.95451,0.94974
0.155625,95.452,0.95452,0.94975
0.15625,95.453,0.95453,0.94976
0.156875,95.453,0.95453,0.94976
0.1575,95.454,0.95454,0.94977
0.158125,95.454,0.95454,0.94977
0.15875,95.453,0.95453,0.94976
0.159375,95.454,0.95454,0.94977
0.16,95.452,0.95452,0.94975
0.160625,95.452,0.95452,0.94975
0.16125,95.452,0.95452,0.94975
0.161875,95.452,0.95452,0.94975
0.1625,95.451,0.95451,0.94974
0.163125,95.45,0.9545,0.94973
0.16375,95.452,0.95452,0.94975
0.164375,95.453,0.95453,0.94976
0.165,95.456,0.95456,0.94979
0.165625,95.458,0.95458,0.94981
0.16625,95.458,0.95458,0.94981
0.166875,95.459,0.95459,0.94982
0.1675,95.459,0.95459,0.94982
0.168125,95.459,0.95459,0.94982
0.16875,95.459,0.95459,0.94982
0.169375,95.458,0.95458,0.94981
0.17,95.456,0.95456,0.94979
0.170625,95.454,0.95454,0.94977
