t,UAB(V),delta,UAB
0.89375,95.48,0.9548,0.95003
0.894375,95.48,0.9548,0.95003
0.895,95.481,0.95481,0.95004
0.895625,95.482,0.95482,0.95005
0.89625,95.483,0.95483,0.95006
0.896875,95.484,0.95484,0.95007
0.8975,95.484,0.95484,0.95007
0.898125,95.484,0.95484,0.95007
0.89875,95.483,0.95483,0.95006
0.899375,95.482,0.95482,0.95005
0.9,95.48,0.9548,0.95003
0.900625,95.478,0.95478,0.95001
0.90125,95.478,0.95478,0.95001
0.901875,95.476,0.95476,0.94999
0.9025,95.476,0.95476,0.94999
0.903125,95.476,0.95476,0.94999
0.90375,95.476,0.95476,0.94999
0.904375,95.477,0.95477,0.95
0.905,95.479,0.95479,0.95002
0.905625,95.48,0.9548,0.95003
0.90625,95.48,0.9548,0.95003
0.906875,95.481,0.95481,0.95004
0.9075,95.481,0.95481,0.95004
0.908125,95.481,0.95481,0.95004
0.90875,95.481,0.95481,0.95004
0.909375,95.479,0.95479,0.95002
0.91,95.478,0.95478,0.95001
0.910625,95.477,0.95477,0.95
0.91125,95.475,0.95475,0.94998
0.911875,95.476,0.95476,0.94999
0.9125,95.476,0.95476,0.94999
0.913125,95.477,0.95477,0.95
0.91375,95.478,0.95478,0.95001
0.914375,95.481,0.95481,0.95004
0.915,95.482,0.95482,0.95005
0.915625,95.482,0.95482,0.95005
0.91625,95.485,0.95485,0.95008
0.916875,95.486,0.95486,0.95009
0.9175,95.487,0.95487,0.9501
0.918125,95.487,0.95487,0.9501
0.91875,95.486,0.95486,0.95009
0.919375,95.484,0.95484,0.95007
0.92,95.483,0.95483,0.95006
0.920625,95.482,0.95482,0.95005
0.92125,95.482,0.95482,0.95005
0.921875,95.483,0.95483,0.95006
0.9225,95.482,0.95482,0.95005
0.923125,95.483,0.95483,0.95006
0.92375,95.484,0.95484,0.95007
0.924375,95.485,0.95485,0.95008
0.925,95.486,0.95486,0.95009
0.925625,95.486,0.95486,0.95009
0.92625,95.488,0.95488,0.95011
0.926875,95.489,0.95489,0.95012
0.9275,95.49,0.9549,0.95013
0.928125,95.49,0.9549,0.95013
0.92875,95.489,0.95489,0.95012
0.929375,95.488,0.95488,0.95011
0.93,95.487,0.95487,0.9501
0.930625,95.486,0.95486,0.95009
0.93125,95.485,0.95485,0.95008
0.931875,95.485,0.95485,0.95008
0.9325,95.485,0.95485,0.95008
0.933125,95.485,0.95485,0.95008
0.93375,95.487,0.95487,0.9501
0.934375,95.49,0.9549,0.95013
0.935,95.49,0.9549,0.95013
0.935625,95.493,0.95493,0.95016
0.93625,95.494,0.95494,0.95017
0.936875,95.495,0.95495,0.95018
0.9375,95.495,0.95495,0.95018
0.938125,95.495,0.95495,0.95018
0.93875,95.495,0.95495,0.95018
0.939375,95.494,0.95494,0.95017
0.94,95.492,0.95492,0.95015
0.940625,95.494,0.95494,0.95017
0.94125,95.491,0.95491,0.95014
0.941875,95.488,0.95488,0.95011
0.9425,95.487,0.95487,0.9501
0.943125,95.484,0.95484,0.95007
0.94375,95.486,0.95486,0.95009
0.944375,95.488,0.95488,0.95011
0.945,95.489,0.95489,0.95012
0.945625,95.49,0.9549,0.95013
0.94625,95.49,0.9549,0.95013
0.946875,95.49,0.9549,0.95013
0.9475,95.491,0.95491,0.95014
0.948125,95.491,0.95491,0.95014
0.94875,95.49,0.9549,0.95013
0.949375,95.489,0.95489,0.95012
0.95,95.487,0.95487,0.9501
0.950625,95.489,0.95489,0.95012
0.95125,95.484,0.95484,0.95007
0.951875,95.482,0.95482,0.95005
0.9525,95.481,0.95481,0.95004
0.953125,95.477,0.95477,0.95
0.95375,95.477,0.95477,0.95
0.954375,95.474,0.95474,0.94997
0.955,95.478,0.95478,0.95001
0.955625,95.479,0.95479,0.95002
0.95625,95.48,0.9548,0.95003
0.956875,95.481,0.95481,0.95004
0.9575,95.481,0.95481,0.95004
0.958125,95.481,0.95481,0.95004
0.95875,95.48,0.9548,0.95003
0.959375,95.48,0.9548,0.95003
0.96,95.479,0.95479,0.95002
0.960625,95.478,0.95478,0.95001
0.96125,95.474,0.95474,0.94997
0.961875,95.475,0.95475,0.94998
0.9625,95.476,0.95476,0.94999
0.963125,95.476,0.95476,0.94999
0.96375,95.477,0.95477,0.95
0.964375,95.477,0.95477,0.95
0.965,95.479,0.95479,0.95002
0.965625,95.481,0.95481,0.95004
0.96625,95.481,0.95481,0.95004
0.966875,95.483,0.95483,0.95006
0.9675,95.483,0.95483,0.95006
0.968125,95.483,0.95483,0.95006
0.96875,95.482,0.95482,0.95005
0.969375,95.482,0.95482,0.95005
0.97,95.482,0.95482,0.95005
0.970625,95.479,0.95479,0.95002
0.97125,95.478,0.95478,0.95001
0.971875,95.476,0.95476,0.94999
0.9725,95.474,0.95474,0.94997
0.973125,95.476,0.95476,0.94999
0.97375,95.476,0.95476,0.94999
0.974375,95.477,0.95477,0.95
0.975,95.475,0.95475,0.94998
0.975625,95.476,0.95476,0.94999
0.97625,95.477,0.95477,0.95
0.976875,95.477,0.95477,0.95
0.9775,95.477,0.95477,0.95
0.978125,95.478,0.95478,0.95001
0.97875,95.477,0.95477,0.95
0.979375,95.474,0.95474,0.94997
0.98,95.472,0.95472,0.94995
0.980625,95.471,0.95471,0.94994
0.98125,95.47,0.9547,0.94993
0.981875,95.468,0.95468,0.94991
0.9825,95.466,0.95466,0.94989
0.983125,95.466,0.95466,0.94989
0.98375,95.465,0.95465,0.94988
0.984375,95.465,0.95465,0.94988
0.985,95.464,0.95464,0.94987
0.985625,95.466,0.95466,0.94989
0.98625,95.467,0.95467,0.9499
0.986875,95.468,0.95468,0.94991
0.9875,95.468,0.95468,0.94991
0.988125,95.468,0.95468,0.94991
0.98875,95.468,0.95468,0.94991
0.989375,95.466,0.95466,0.94989
0.99,95.463,0.95463,0.94986
0.990625,95.463,0.95463,0.94986
0.99125,95.463,0.95463,0.94986
0.991875,95.459,0.95459,0.94982
0.9925,95.458,0.95458,0.94981
0.993125,95.457,0.95457,0.9498
0.99375,95.456,0.95456,0.94979
0.994375,95.456,0.95456,0.94979
0.995,95.458,0.95458,0.94981
0.995625,95.459,0.95459,0.94982
0.99625,95.46,0.9546,0.94983
0.996875,95.462,0.95462,0.94985
0.9975,95.462,0.95462,0.94985
0.998125,95.462,0.95462,0.94985
0.99875,95.462,0.95462,0.94985
0.999375,95.46,0.9546,0.94983
1,95.458,0.95458,0.94981
1.000625,95.456,0.95456,0.94979
1.00125,95.456,0.95456,0.94979
1.001875,95.453,0.95453,0.94976
1.0025,95.455,0.95455,0.94978
1.003125,95.454,0.95454,0.94977
1.00375,95.453,0.95453,0.94976
1.004375,95.456,0.95456,0.94979
1.005,95.459,0.95459,0.94982
1.005625,95.461,0.95461,0.94984
1.00625,95.461,0.95461,0.94984
1.006875,95.463,0.95463,0.94986
1.0075,95.465,0.95465,0.94988
1.008125,95.465,0.95465,0.94988
1.00875,95.463,0.95463,0.94986
1.009375,95.457,0.95457,0.9498
1.01,95.455,0.95455,0.94978
1.010625,95.454,0.95454,0.94977
1.01125,95.46,0.9546,0.94983
1.011875,95.467,0.95467,0.9499
1.0125,95.476,0.95476,0.94999
1.013125,95.474,0.95474,0.94997
1.01375,95.487,0.95487,0.9501
1.014375,95.51,0.9551,0.95033
1.015,95.525,0.95525,0.95048
1.015625,95.537,0.95537,0.9506
1.01625,95.544,0.95544,0.95067
1.016875,95.549,0.95549,0.95072
1.0175,95.552,0.95552,0.95075
1.018125,95.551,0.95551,0.95074
1.01875,95.551,0.95551,0.95074
1.019375,95.546,0.95546,0.95069
1.02,95.549,0.95549,0.95072
1.020625,95.558,0.95558,0.95081
1.02125,95.579,0.95579,0.95102
1.021875,95.603,0.95603,0.95126
1.0225,95.626,0.95626,0.95149
1.023125,95.645,0.95645,0.95168
1.02375,95.679,0.95679,0.95202
1.024375,95.718,0.95718,0.95241
1.025,95.746,0.95746,0.95269
1.025625,95.767,0.95767,0.9529
1.02625,95.781,0.95781,0.95304
1.026875,95.789,0.95789,0.95312
1.0275,95.791,0.95791,0.95314
1.028125,95.791,0.95791,0.95314
1.02875,95.792,0.95792,0.95315
1.029375,95.795,0.95795,0.95318
1.03,95.807,0.95807,0.9533
1.030625,95.827,0.95827,0.9535
1.03125,95.857,0.95857,0.9538
1.031875,95.892,0.95892,0.95415
1.0325,95.932,0.95932,0.95455
1.033125,95.974,0.95974,0.95497
1.03375,96.017,0.96017,0.9554
1.034375,96.054,0.96054,0.95577
1.035,96.084,0.96084,0.95607
1.035625,96.107,0.96107,0.9563
1.03625,96.121,0.96121,0.95644
1.036875,96.128,0.96128,0.95651
1.0375,96.129,0.96129,0.95652
1.038125,96.129,0.96129,0.95652
1.03875,96.131,0.96131,0.95654
1.039375,96.137,0.96137,0.9566
1.04,96.152,0.96152,0.95675
1.040625,96.173,0.96173,0.95696
1.04125,96.203,0.96203,0.95726
1.041875,96.24,0.9624,0.95763
1.0425,96.284,0.96284,0.95807
1.043125,96.328,0.96328,0.95851
1.04375,96.369,0.96369,0.95892
1.044375,96.407,0.96407,0.9593
1.045,96.438,0.96438,0.95961
1.045625,96.459,0.96459,0.95982
1.04625,96.474,0.96474,0.95997
1.046875,96.479,0.96479,0.96002
1.0475,96.481,0.96481,0.96004
1.048125,96.481,0.96481,0.96004
1.04875,96.483,0.96483,0.96006
1.049375,96.495,0.96495,0.96018
1.05,96.503,0.96503,0.96026
1.050625,96.525,0.96525,0.96048
1.05125,96.556,0.96556,0.96079
1.051875,96.594,0.96594,0.96117
1.0525,96.636,0.96636,0.96159
1.053125,96.68,0.9668,0.96203
1.05375,96.721,0.96721,0.96244
1.054375,96.757,0.96757,0.9628
1.055,96.787,0.96787,0.9631
1.055625,96.808,0.96808,0.96331
1.05625,96.82,0.9682,0.96343
1.056875,96.825,0.96825,0.96348
1.0575,96.826,0.96826,0.96349
1.058125,96.827,0.96827,0.9635
1.05875,96.829,0.96829,0.96352
1.059375,96.841,0.96841,0.96364
1.06,96.848,0.96848,0.96371
1.060625,96.873,0.96873,0.96396
1.06125,96.903,0.96903,0.96426
1.061875,96.939,0.96939,0.96462
1.0625,96.98,0.9698,0.96503
1.063125,97.021,0.97021,0.96544
1.06375,97.062,0.97062,0.96585
1.064375,97.095,0.97095,0.96618
1.065,97.124,0.97124,0.96647
1.065625,97.144,0.97144,0.96667
1.06625,97.156,0.97156,0.96679
1.066875,97.162,0.97162,0.96685
1.0675,97.163,0.97163,0.96686
1.068125,97.163,0.97163,0.96686
1.06875,97.165,0.97165,0.96688
1.069375,97.172,0.97172,0.96695
1.07,97.184,0.97184,0.96707
1.070625,97.204,0.97204,0.96727
1.07125,97.232,0.97232,0.96755
1.071875,97.263,0.97263,0.96786
1.0725,97.301,0.97301,0.96824
1.073125,97.341,0.97341,0.96864
1.07375,97.377,0.97377,0.969
1.074375,97.411,0.97411,0.96934
1.075,97.439,0.97439,0.96962
1.075625,97.457,0.97457,0.9698
1.07625,97.469,0.97469,0.96992
1.076875,97.475,0.97475,0.96998
1.0775,97.476,0.97476,0.96999
1.078125,97.476,0.97476,0.96999
1.07875,97.478,0.97478,0.97001
1.079375,97.484,0.97484,0.97007
1.08,97.496,0.97496,0.97019
1.080625,97.512,0.97512,0.97035
1.08125,97.536,0.97536,0.97059
1.081875,97.567,0.97567,0.9709
1.0825,97.602,0.97602,0.97125
1.083125,97.642,0.97642,0.97165
1.08375,97.667,0.97667,0.9719
1.084375,97.698,0.97698,0.97221
1.085,97.721,0.97721,0.97244
1.085625,97.74,0.9774,0.97263
1.08625,97.75,0.9775,0.97273
1.086875,97.755,0.97755,0.97278
1.0875,97.756,0.97756,0.97279
1.088125,97.756,0.97756,0.97279
1.08875,97.757,0.97757,0.9728
1.089375,97.762,0.97762,0.97285
1.09,97.771,0.97771,0.97294
1.090625,97.787,0.97787,0.9731
1.09125,97.809,0.97809,0.97332
1.091875,97.838,0.97838,0.97361
1.0925,97.869,0.97869,0.97392
1.093125,97.914,0.97914,0.97437
1.09375,97.933,0.97933,0.97456
1.094375,97.959,0.97959,0.97482
1.095,97.978,0.97978,0.97501
1.095625,97.995,0.97995,0.97518
1.09625,98.006,0.98006,0.97529
1.096875,98.011,0.98011,0.97534
1.0975,98.011,0.98011,0.97534
1.098125,98.012,0.98012,0.97535
1.09875,98.013,0.98013,0.97536
1.099375,98.017,0.98017,0.9754
1.1,98.027,0.98027,0.9755
1.100625,98.044,0.98044,0.97567
1.10125,98.064,0.98064,0.97587
1.101875,98.09,0.9809,0.97613
1.1025,98.118,0.98118,0.97641
1.103125,98.155,0.98155,0.97678
1.10375,98.18,0.9818,0.97703
1.104375,98.206,0.98206,0.97729
1.105,98.227,0.98227,0.9775
1.105625,98.241,0.98241,0.97764
1.10625,98.251,0.98251,0.97774
1.106875,98.255,0.98255,0.97778
1.1075,98.256,0.98256,0.97779
1.108125,98.256,0.98256,0.97779
1.10875,98.258,0.98258,0.97781
1.109375,98.262,0.98262,0.97785
1.11,98.269,0.98269,0.97792
1.110625,98.287,0.98287,0.9781
1.11125,98.308,0.98308,0.97831
1.111875,98.331,0.98331,0.97854
1.1125,98.358,0.98358,0.97881
1.113125,98.382,0.98382,0.97905
1.11375,98.41,0.9841,0.97933
1.114375,98.434,0.98434,0.97957
1.115,98.454,0.98454,0.97977
1.115625,98.466,0.98466,0.97989
1.11625,98.473,0.98473,0.97996
1.116875,98.478,0.98478,0.98001
1.1175,98.479,0.98479,0.98002
1.118125,98.479,0.98479,0.98002
1.11875,98.48,0.9848,0.98003
1.119375,98.484,0.98484,0.98007
1.12,98.496,0.98496,0.98019
1.120625,98.503,0.98503,0.98026
1.12125,98.523,0.98523,0.98046
1.121875,98.545,0.98545,0.98068
1.1225,98.569,0.98569,0.98092
1.123125,98.596,0.98596,0.98119
1.12375,98.623,0.98623,0.98146
1.124375,98.645,0.98645,0.98168
1.125,98.664,0.98664,0.98187
1.125625,98.677,0.98677,0.982
1.12625,98.684,0.98684,0.98207
1.126875,98.689,0.98689,0.98212
1.1275,98.69,0.9869,0.98213
1.128125,98.69,0.9869,0.98213
1.12875,98.691,0.98691,0.98214
1.129375,98.694,0.98694,0.98217
1.13,98.712,0.98712,0.98235
1.130625,98.713,0.98713,0.98236
1.13125,98.727,0.98727,0.9825
1.131875,98.746,0.98746,0.98269
1.1325,98.77,0.9877,0.98293
1.133125,98.797,0.98797,0.9832
1.13375,98.818,0.98818,0.98341
1.134375,98.837,0.98837,0.9836
1.135,98.855,0.98855,0.98378
1.135625,98.866,0.98866,0.98389
1.13625,98.874,0.98874,0.98397
1.136875,98.877,0.98877,0.984
1.1375,98.878,0.98878,0.98401
1.138125,98.879,0.98879,0.98402
1.13875,98.879,0.98879,0.98402
1.139375,98.881,0.98881,0.98404
1.14,98.891,0.98891,0.98414
1.140625,98.899,0.98899,0.98422
1.14125,98.913,0.98913,0.98436
1.141875,98.929,0.98929,0.98452
1.1425,98.949,0.98949,0.98472
1.143125,98.97,0.9897,0.98493
1.14375,98.99,0.9899,0.98513
1.144375,99.007,0.99007,0.9853
1.145,99.022,0.99022,0.98545
1.145625,99.032,0.99032,0.98555
1.14625,99.039,0.99039,0.98562
1.146875,99.042,0.99042,0.98565
1.1475,99.043,0.99043,0.98566
1.148125,99.043,0.99043,0.98566
1.14875,99.044,0.99044,0.98567
1.149375,99.046,0.99046,0.98569
1.15,99.05,0.9905,0.98573
1.150625,99.059,0.99059,0.98582
1.15125,99.073,0.99073,0.98596
1.151875,99.089,0.99089,0.98612
1.1525,99.106,0.99106,0.98629
1.153125,99.125,0.99125,0.98648
1.15375,99.145,0.99145,0.98668
1.154375,99.162,0.99162,0.98685
1.155,99.174,0.99174,0.98697
1.155625,99.185,0.99185,0.98708
1.15625,99.192,0.99192,0.98715
1.156875,99.195,0.99195,0.98718
1.1575,99.196,0.99196,0.98719
1.158125,99.196,0.99196,0.98719
1.15875,99.196,0.99196,0.98719
1.159375,99.198,0.99198,0.98721
1.16,99.203,0.99203,0.98726
1.160625,99.211,0.99211,0.98734
1.16125,99.223,0.99223,0.98746
1.161875,99.237,0.99237,0.9876
1.1625,99.255,0.99255,0.98778
1.163125,99.274,0.99274,0.98797
1.16375,99.289,0.99289,0.98812
1.164375,99.305,0.99305,0.98828
1.165,99.316,0.99316,0.98839
1.165625,99.326,0.99326,0.98849
1.16625,99.332,0.99332,0.98855
1.166875,99.335,0.99335,0.98858
1.1675,99.336,0.99336,0.98859
1.168125,99.336,0.99336,0.98859
1.16875,99.336,0.99336,0.98859
1.169375,99.338,0.99338,0.98861
1.17,99.343,0.99343,0.98866
1.170625,99.352,0.99352,0.98875
1.17125,99.361,0.99361,0.98884
1.171875,99.373,0.99373,0.98896
1.1725,99.387,0.99387,0.9891
1.173125,99.403,0.99403,0.98926
1.17375,99.42,0.9942,0.98943
1.174375,99.429,0.99429,0.98952
1.175,99.44,0.9944,0.98963
1.175625,99.45,0.9945,0.98973
1.17625,99.455,0.99455,0.98978
1.176875,99.458,0.99458,0.98981
1.1775,99.458,0.99458,0.98981
1.178125,99.458,0.99458,0.98981
1.17875,99.459,0.99459,0.98982
1.179375,99.461,0.99461,0.98984
1.18,99.464,0.99464,0.98987
1.180625,99.469,0.99469,0.98992
1.18125,99.477,0.99477,0.99
1.181875,99.486,0.99486,0.99009
1.1825,99.495,0.99495,0.99018
1.183125,99.509,0.99509,0.99032
1.18375,99.521,0.99521,0.99044
1.184375,99.534,0.99534,0.99057
1.185,99.548,0.99548,0.99071
1.185625,99.555,0.99555,0.99078
1.18625,99.559,0.99559,0.99082
1.186875,99.562,0.99562,0.99085
1.1875,99.563,0.99563,0.99086
1.188125,99.563,0.99563,0.99086
1.18875,99.563,0.99563,0.99086
1.189375,99.563,0.99563,0.99086
1.19,99.564,0.99564,0.99087
1.190625,99.569,0.99569,0.99092
1.19125,99.576,0.99576,0.99099
1.191875,99.588,0.99588,0.99111
1.1925,99.599,0.99599,0.99122
1.193125,99.611,0.99611,0.99134
1.19375,99.622,0.99622,0.99145
1.194375,99.636,0.99636,0.99159
1.195,99.645,0.99645,0.99168
1.195625,99.651,0.99651,0.99174
1.19625,99.657,0.99657,0.9918
1.196875,99.66,0.9966,0.99183
1.1975,99.661,0.99661,0.99184
1.198125,99.661,0.99661,0.99184
1.19875,99.661,0.99661,0.99184
1.199375,99.661,0.99661,0.99184
1.2,99.663,0.99663,0.99186
1.200625,99.669,0.99669,0.99192
1.20125,99.675,0.99675,0.99198
1.201875,99.686,0.99686,0.99209
1.2025,99.699,0.99699,0.99222
1.203125,99.709,0.99709,0.99232
1.20375,99.723,0.99723,0.99246
1.204375,99.732,0.99732,0.99255
1.205,99.737,0.99737,0.9926
1.205625,99.746,0.99746,0.99269
1.20625,99.75,0.9975,0.99273
1.206875,99.752,0.99752,0.99275
1.2075,99.753,0.99753,0.99276
1.208125,99.753,0.99753,0.99276
1.20875,99.753,0.99753,0.99276
1.209375,99.754,0.99754,0.99277
1.21,99.755,0.99755,0.99278
1.210625,99.759,0.99759,0.99282
1.21125,99.763,0.99763,0.99286
1.211875,99.768,0.99768,0.99291
1.2125,99.775,0.99775,0.99298
1.213125,99.784,0.99784,0.99307
1.21375,99.796,0.99796,0.99319
1.214375,99.801,0.99801,0.99324
1.215,99.809,0.99809,0.99332
1.215625,99.815,0.99815,0.99338
1.21625,99.819,0.99819,0.99342
1.216875,99.821,0.99821,0.99344
1.2175,99.822,0.99822,0.99345
1.218125,99.822,0.99822,0.99345
1.21875,99.821,0.99821,0.99344
1.219375,99.822,0.99822,0.99345
1.22,99.825,0.99825,0.99348
1.220625,99.826,0.99826,0.99349
1.22125,99.831,0.99831,0.99354
1.221875,99.837,0.99837,0.9936
1.2225,99.843,0.99843,0.99366
1.223125,99.852,0.99852,0.99375
1.22375,99.868,0.99868,0.99391
1.224375,99.868,0.99868,0.99391
1.225,99.877,0.99877,0.994
1.225625,99.882,0.99882,0.99405
1.22625,99.885,0.99885,0.99408
1.226875,99.888,0.99888,0.99411
1.2275,99.889,0.99889,0.99412
1.228125,99.889,0.99889,0.99412
1.22875,99.889,0.99889,0.99412
1.229375,99.889,0.99889,0.99412
1.23,99.889,0.99889,0.99412
1.230625,99.891,0.99891,0.99414
1.23125,99.899,0.99899,0.99422
1.231875,99.906,0.99906,0.99429
1.2325,99.914,0.99914,0.99437
1.233125,99.923,0.99923,0.99446
1.23375,99.935,0.99935,0.99458
1.234375,99.939,0.99939,0.99462
1.235,99.945,0.99945,0.99468
1.235625,99.95,0.9995,0.99473
1.23625,99.953,0.99953,0.99476
1.236875,99.955,0.99955,0.99478
1.2375,99.956,0.99956,0.99479
1.238125,99.956,0.99956,0.99479
1.23875,99.955,0.99955,0.99478
1.239375,99.955,0.99955,0.99478
1.24,99.954,0.99954,0.99477
1.240625,99.958,0.99958,0.99481
1.24125,99.964,0.99964,0.99487
1.241875,99.97,0.9997,0.99493
1.2425,99.977,0.99977,0.995
1.243125,99.986,0.99986,0.99509
1.24375,99.998,0.99998,0.99521
1.244375,100,1,0.99523
1.245,100,1,0.99523
1.245625,100.01,1.0001,0.99533
1.24625,100.01,1.0001,0.99533
1.246875,100.02,1.0002,0.99543
1.2475,100.02,1.0002,0.99543
1.248125,100.02,1.0002,0.99543
1.24875,100.01,1.0001,0.99533
1.249375,100.02,1.0002,0.99543
1.25,100.02,1.0002,0.99543
1.250625,100.02,1.0002,0.99543
1.25125,100.02,1.0002,0.99543
1.251875,100.03,1.0003,0.99553
1.2525,100.03,1.0003,0.99553
1.253125,100.04,1.0004,0.99563
1.25375,100.05,1.0005,0.99573
1.254375,100.06,1.0006,0.99583
1.255,100.06,1.0006,0.99583
1.255625,100.07,1.0007,0.99593
1.25625,100.07,1.0007,0.99593
1.256875,100.07,1.0007,0.99593
1.2575,100.08,1.0008,0.99603
1.258125,100.08,1.0008,0.99603
1.25875,100.08,1.0008,0.99603
1.259375,100.07,1.0007,0.99593
1.26,100.08,1.0008,0.99603
1.260625,100.08,1.0008,0.99603
1.26125,100.08,1.0008,0.99603
1.261875,100.08,1.0008,0.99603
1.2625,100.09,1.0009,0.99613
1.263125,100.09,1.0009,0.99613
1.26375,100.1,1.001,0.99623
1.264375,100.1,1.001,0.99623
1.265,100.11,1.0011,0.99633
1.265625,100.12,1.0012,0.99643
1.26625,100.12,1.0012,0.99643
1.266875,100.12,1.0012,0.99643
1.2675,100.12,1.0012,0.99643
1.268125,100.12,1.0012,0.99643
1.26875,100.12,1.0012,0.99643
1.269375,100.12,1.0012,0.99643
1.27,100.12,1.0012,0.99643
1.270625,100.12,1.0012,0.99643
1.27125,100.12,1.0012,0.99643
1.271875,100.13,1.0013,0.99653
1.2725,100.13,1.0013,0.99653
1.273125,100.14,1.0014,0.99663
1.27375,100.15,1.0015,0.99673
1.274375,100.15,1.0015,0.99673
1.275,100.16,1.0016,0.99683
1.275625,100.16,1.0016,0.99683
1.27625,100.16,1.0016,0.99683
1.276875,100.17,1.0017,0.99693
1.2775,100.17,1.0017,0.99693
1.278125,100.17,1.0017,0.99693
1.27875,100.17,1.0017,0.99693
1.279375,100.17,1.0017,0.99693
1.28,100.17,1.0017,0.99693
1.280625,100.17,1.0017,0.99693
1.28125,100.17,1.0017,0.99693
1.281875,100.18,1.0018,0.99703
1.2825,100.18,1.0018,0.99703
1.283125,100.19,1.0019,0.99713
1.28375,100.19,1.0019,0.99713
1.284375,100.2,1.002,0.99723
1.285,100.2,1.002,0.99723
1.285625,100.21,1.0021,0.99733
1.28625,100.21,1.0021,0.99733
1.286875,100.21,1.0021,0.99733
1.2875,100.21,1.0021,0.99733
1.288125,100.21,1.0021,0.99733
1.28875,100.21,1.0021,0.99733
1.289375,100.21,1.0021,0.99733
1.29,100.21,1.0021,0.99733
1.290625,100.21,1.0021,0.99733
1.29125,100.21,1.0021,0.99733
1.291875,100.22,1.0022,0.99743
1.2925,100.22,1.0022,0.99743
1.293125,100.23,1.0023,0.99753
1.29375,100.23,1.0023,0.99753
1.294375,100.24,1.0024,0.99763
1.295,100.24,1.0024,0.99763
1.295625,100.25,1.0025,0.99773
1.29625,100.25,1.0025,0.99773
1.296875,100.25,1.0025,0.99773
1.2975,100.25,1.0025,0.99773
1.298125,100.25,1.0025,0.99773
1.29875,100.25,1.0025,0.99773
1.299375,100.25,1.0025,0.99773
1.3,100.25,1.0025,0.99773
1.300625,100.25,1.0025,0.99773
1.30125,100.25,1.0025,0.99773
1.301875,100.25,1.0025,0.99773
1.3025,100.25,1.0025,0.99773
1.303125,100.25,1.0025,0.99773
1.30375,100.26,1.0026,0.99783
1.304375,100.26,1.0026,0.99783
1.305,100.27,1.0027,0.99793
1.305625,100.27,1.0027,0.99793
1.30625,100.27,1.0027,0.99793
1.306875,100.27,1.0027,0.99793
1.3075,100.27,1.0027,0.99793
1.308125,100.27,1.0027,0.99793
1.30875,100.27,1.0027,0.99793
1.309375,100.27,1.0027,0.99793
1.31,100.27,1.0027,0.99793
1.310625,100.27,1.0027,0.99793
1.31125,100.28,1.0028,0.99803
1.311875,100.28,1.0028,0.99803
1.3125,100.28,1.0028,0.99803
1.313125,100.28,1.0028,0.99803
1.31375,100.29,1.0029,0.99813
1.314375,100.29,1.0029,0.99813
1.315,100.3,1.003,0.99823
1.315625,100.3,1.003,0.99823
1.31625,100.3,1.003,0.99823
1.316875,100.31,1.0031,0.99833
1.3175,100.31,1.0031,0.99833
1.318125,100.31,1.0031,0.99833
1.31875,100.31,1.0031,0.99833
1.319375,100.3,1.003,0.99823
1.32,100.3,1.003,0.99823
1.320625,100.3,1.003,0.99823
1.32125,100.3,1.003,0.99823
1.321875,100.3,1.003,0.99823
1.3225,100.31,1.0031,0.99833
1.323125,100.31,1.0031,0.99833
1.32375,100.31,1.0031,0.99833
1.324375,100.32,1.0032,0.99843
1.325,100.32,1.0032,0.99843
1.325625,100.32,1.0032,0.99843
1.32625,100.33,1.0033,0.99853
1.326875,100.33,1.0033,0.99853
1.3275,100.33,1.0033,0.99853
1.328125,100.33,1.0033,0.99853
1.32875,100.33,1.0033,0.99853
1.329375,100.33,1.0033,0.99853
1.33,100.32,1.0032,0.99843
1.330625,100.32,1.0032,0.99843
1.33125,100.32,1.0032,0.99843
1.331875,100.32,1.0032,0.99843
1.3325,100.32,1.0032,0.99843
1.333125,100.33,1.0033,0.99853
1.33375,100.33,1.0033,0.99853
1.334375,100.33,1.0033,0.99853
1.335,100.34,1.0034,0.99863
1.335625,100.34,1.0034,0.99863
1.33625,100.34,1.0034,0.99863
1.336875,100.35,1.0035,0.99873
1.3375,100.35,1.0035,0.99873
1.338125,100.35,1.0035,0.99873
1.33875,100.35,1.0035,0.99873
1.339375,100.34,1.0034,0.99863
1.34,100.34,1.0034,0.99863
1.340625,100.34,1.0034,0.99863
1.34125,100.34,1.0034,0.99863
1.341875,100.34,1.0034,0.99863
1.3425,100.34,1.0034,0.99863
1.343125,100.35,1.0035,0.99873
1.34375,100.35,1.0035,0.99873
1.344375,100.35,1.0035,0.99873
1.345,100.36,1.0036,0.99883
1.345625,100.36,1.0036,0.99883
1.34625,100.37,1.0037,0.99893
1.346875,100.37,1.0037,0.99893
1.3475,100.37,1.0037,0.99893
1.348125,100.37,1.0037,0.99893
1.34875,100.37,1.0037,0.99893
1.349375,100.37,1.0037,0.99893
1.35,100.37,1.0037,0.99893
1.350625,100.37,1.0037,0.99893
1.35125,100.36,1.0036,0.99883
1.351875,100.37,1.0037,0.99893
1.3525,100.37,1.0037,0.99893
1.353125,100.37,1.0037,0.99893
1.35375,100.38,1.0038,0.99903
1.354375,100.38,1.0038,0.99903
1.355,100.38,1.0038,0.99903
1.355625,100.39,1.0039,0.99913
1.35625,100.39,1.0039,0.99913
1.356875,100.39,1.0039,0.99913
1.3575,100.39,1.0039,0.99913
