t,UAB
1.785,1.00535
1.79,1.00535
1.795,1.00535
1.8,1.00535
1.805,1.00545
1.81,1.00545
1.815,1.00545
1.82,1.00545
1.825,1.00565
1.83,1.00565
1.835,1.00585
1.84,1.00585
1.845,1.00605
1.85,1.00605
1.855,1.00605
1.86,1.00605
1.865,1.00605
1.87,1.00605
1.875,1.00605
1.88,1.00605
1.885,1.00605
1.89,1.00605
1.895,1.00615
1.9,1.00615
1.905,1.00625
1.91,1.00625
1.915,1.00635
1.92,1.00635
1.925,1.00645
1.93,1.00645
1.935,1.00645
1.94,1.00645
1.945,1.00655
1.95,1.00655
1.955,1.00655
1.96,1.00655
1.965,1.00645
1.97,1.00645
1.975,1.00645
1.98,1.00645
1.985,1.00645
1.99,1.00645
1.995,1.00655
2,1.00655
2.005,1.00655
2.01,1.00655
2.015,1.00665
2.02,1.00665
2.025,1.00665
2.03,1.00665
2.035,1.00665
2.04,1.00665
2.045,1.00665
2.05,1.00665
2.055,1.00665
2.06,1.00665
2.065,1.00655
2.07,1.00655
2.075,1.00645
2.08,1.00645
2.085,1.00645
2.09,1.00645
2.095,1.00645
2.1,1.00645
2.105,1.00645
2.11,1.00645
2.115,1.00655
2.12,1.00655
2.125,1.00655
2.13,1.00655
2.135,1.00655
2.14,1.00655
2.145,1.00655
2.15,1.00655
2.155,1.00645
2.16,1.00645
2.165,1.00635
2.17,1.00635
2.175,1.00625
2.18,1.00625
2.185,1.00625
2.19,1.00625
2.195,1.00615
2.2,1.00615
2.205,1.00615
2.21,1.00615
2.215,1.00615
2.22,1.00615
2.225,1.00615
2.23,1.00615
2.235,1.00625
2.24,1.00625
2.245,1.00625
2.25,1.00615
2.255,1.00615
2.26,1.00605
2.265,1.00605
2.27,1.00605
2.275,1.00595
2.28,1.00595
2.285,1.00595
2.29,1.00585
2.295,1.00585
2.3,1.00585
2.305,1.00575
2.31,1.00575
2.315,1.00575
2.32,1.00565
2.325,1.00575
2.33,1.00575
2.335,1.00575
2.34,1.00575
2.345,1.00575
2.35,1.00575
2.355,1.00575
2.36,1.00575
2.365,1.00565
2.37,1.00565
2.375,1.00565
2.38,1.00555
2.385,1.00555
2.39,1.00555
2.395,1.00545
2.4,1.00545
2.405,1.00535
2.41,1.00535
2.415,1.00525
2.42,1.00525
2.425,1.00525
2.43,1.00525
2.435,1.00525
2.44,1.00525
2.445,1.00535
2.45,1.00525
2.455,1.00525
2.46,1.00525
2.465,1.00525
2.47,1.00515
2.475,1.00515
2.48,1.00515
2.485,1.00505
2.49,1.00505
2.495,1.00495
2.5,1.00495
2.505,1.00485
2.51,1.00485
2.515,1.00475
2.52,1.00475
2.525,1.00465
2.53,1.00465
2.535,1.00465
2.54,1.00465
2.545,1.00465
2.55,1.00465
2.555,1.00465
2.56,1.00465
2.565,1.00465
2.57,1.00465
2.575,1.00465
2.58,1.00455
2.585,1.00455
2.59,1.00455
2.595,1.00445
2.6,1.00445
2.605,1.00435
2.61,1.00435
2.615,1.00425
2.62,1.00425
2.625,1.00425
2.63,1.00415
2.635,1.00415
2.64,1.00415
2.645,1.00405
2.65,1.00405
2.655,1.00395
2.66,1.00395
2.665,1.00395
2.67,1.00395
2.675,1.00405
2.68,1.00395
2.685,1.00405
2.69,1.00395
2.695,1.00405
2.7,1.00405
2.705,1.00405
2.71,1.00395
2.715,1.00385
2.72,1.00385
2.725,1.00385
2.73,1.00385
2.735,1.00375
2.74,1.00375
2.745,1.00365
2.75,1.00365
2.755,1.00355
2.76,1.00355
2.765,1.00355
2.77,1.00345
2.775,1.00345
2.78,1.00345
2.785,1.00345
2.79,1.00345
2.795,1.00345
2.8,1.00345
2.805,1.00345
2.81,1.00345
2.815,1.00355
2.82,1.00345
2.825,1.00345
